No;Provinsi;Kabupaten/Kota;Delineasi; Indikasi Alokasi ;Kode Kabupaten/kota
1;ACEH;Kabupaten Simeulue;DJKP; 726 ;1101
2;ACEH;Kabupaten Aceh Singkil;DJPDS; 800 ;1102
3;ACEH;Kabupaten Aceh Selatan;DJPDS; 692 ;1103
4;ACEH;Kabupaten Aceh Tenggara;DJPDS; 522 ;1104
5;ACEH;Kabupaten Aceh Timur;DJPDS; 639 ;1105
6;ACEH;Kabupaten Aceh Tengah;DJPDS; 671 ;1106
7;ACEH;Kabupaten Aceh Barat;DJPDS; 818 ;1107
8;ACEH;Kabupaten Aceh Besar;DJPDS; 805 ;1108
9;ACEH;Kabupaten Pidie;DJPDS; 810 ;1109
10;ACEH;Kabupaten Bireuen;DJPDS; 637 ;1110
11;ACEH;Kabupaten Aceh Utara;DJPDS; 859 ;1111
12;ACEH;Kabupaten Aceh Barat Daya;DJPDS; 629 ;1112
13;ACEH;Kabupaten Gayo Lues;DJPDS; 628 ;1113
14;ACEH;Kabupaten Aceh Tamiang;DJPDS; 633 ;1114
15;ACEH;Kabupaten Nagan Raya;DJPDS; 546 ;1115
16;ACEH;Kabupaten Aceh Jaya;DJPDS; 546 ;1116
17;ACEH;Kabupaten Bener Meriah;DJPDS; 711 ;1117
18;ACEH;Kabupaten Pidie Jaya;DJPDS; 671 ;1118
19;ACEH;Kota Banda Aceh;DJPKT; 516 ;1171
20;ACEH;Kota Sabang;DJKP; 609 ;1172
21;ACEH;Kota Langsa;DJPKT; 594 ;1173
22;ACEH;Kota Lhokseumawe;DJPKT; 670 ;1174
23;ACEH;Kota Subulussalam;DJPDS; 645 ;1175
24;SUMATERA UTARA;Kabupaten Nias;DJPDS; 642 ;1201
25;SUMATERA UTARA;Kabupaten Mandailing Natal;DJPDS; 537 ;1202
26;SUMATERA UTARA;Kabupaten Tapanuli Selatan;DJPDS; 346 ;1203
27;SUMATERA UTARA;Kabupaten Tapanuli Tengah;DJPDS; 676 ;1204
28;SUMATERA UTARA;Kabupaten Tapanuli Utara;DJPDS; 611 ;1205
29;SUMATERA UTARA;Kabupaten Toba;DJPDS; 509 ;1206
30;SUMATERA UTARA;Kabupaten Labuhanbatu;DJPDS; 652 ;1207
31;SUMATERA UTARA;Kabupaten Asahan;DJPKT; 582 ;1208
32;SUMATERA UTARA;Kabupaten Simalungun;DJPDS; 569 ;1209
33;SUMATERA UTARA;Kabupaten Dairi;DJPDS; 561 ;1210
34;SUMATERA UTARA;Kabupaten Karo;DJPDS; 458 ;1211
35;SUMATERA UTARA;Kabupaten Deli Serdang;DJPKT; 518 ;1212
36;SUMATERA UTARA;Kabupaten Langkat;DJPDS; 712 ;1213
37;SUMATERA UTARA;Kabupaten Nias Selatan;DJPDS; 881 ;1214
38;SUMATERA UTARA;Kabupaten Humbang Hasundutan;DJPDS; 457 ;1215
39;SUMATERA UTARA;Kabupaten Pakpak Bharat;DJPDS; 395 ;1216
40;SUMATERA UTARA;Kabupaten Samosir;DJPDS; 556 ;1217
41;SUMATERA UTARA;Kabupaten Serdang Bedagai;DJPDS; 467 ;1218
42;SUMATERA UTARA;Kabupaten Batu Bara;DJPDS; 731 ;1219
43;SUMATERA UTARA;Kabupaten Padang Lawas Utara;DJPDS; 439 ;1220
44;SUMATERA UTARA;Kabupaten Padang Lawas;DJPDS; 409 ;1221
45;SUMATERA UTARA;Kabupaten Labuhanbatu Selatan;DJPDS; 423 ;1222
